Nation,Position,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals,Assists,Non-Penalty Goals,Penalty Goals,Penalty Attempts,Yellow Cards,Red Cards,Shots,Shots on Target,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Shot Distance,Goals90,Assists90,G+A90,G-PK90,G+A-PK90,xG,npxG,xA,npxG+xA,xG90,xA90,xG+xA90,npxG90,npxG+xA90
Italy,Defender,La Liga,28,1992,6,3,322,3.6,1,0,1,0,0,1,0,12,5,41.7,3.11,1.3,0.08,0.2,14.4,0.28,0,0.28,0.28,0.28,0.1,0.1,0.2,0.3,0.03,0.05,0.08,0.03,0.08
Italy,Forward,Serie A,20,2001,5,2,218,2.4,0,0,0,0,0,0,0,22,7,31.8,2.7,0.86,0.14,0.43,13,0,0,0,0,0,0.3,0.3,0.1,0.4,0.13,0.05,0.17,0.13,0.17
Italy,Forward,Serie A,20,2001,12,1,196,2.2,1,0,1,0,0,0,0,4,2,50,1.15,0.58,0,0,24.5,0.46,0,0.46,0.46,0.46,1.1,1.1,0.2,1.4,0.53,0.09,0.62,0.53,0.62
United Kingdom,Goalkeeper,Premier League,27,1994,35,35,3150,35,0,0,0,0,0,2,0,3,1,33.3,0.84,0.28,0.33,1,17.7,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0
France,Defender/Forward,Ligue 1,32,1989,2,0,13,0.1,0,0,0,0,0,0,0,2,0,0,0.83,0,0,,5.9,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0,0.12
Germany,Defender,Bundesliga,23,1998,27,27,2379,26.4,0,0,0,0,0,2,0,5,3,60,2.3,1.38,0.2,0.33,11.6,0,0,0,0,0,0.9,0.9,0.4,1.3,0.03,0.02,0.05,0.03,0.05
France,Defender,Ligue 1,23,1998,30,29,2548,28.3,0,1,0,0,0,6,0,0,0,,0,0,,,,0,0.04,0.04,0,0.04,0.7,0.7,0.7,1.3,0.02,0.02,0.05,0.02,0.05
Netherlands,Defender,Premier League,32,1988,12,8,730,8.1,0,1,0,0,0,1,0,0,0,,0,0,,,,0,0.12,0.12,0,0.12,0.2,0.2,0.8,1,0.02,0.1,0.13,0.02,0.13
Spain,Midfielder,La Liga,33,1987,29,16,1444,16,0,0,0,0,0,4,0,14,2,14.3,0.53,0.08,0,0,15.5,0,0,0,0,0,0.4,0.4,0.3,0.7,0.02,0.02,0.04,0.02,0.04
Italy,Forward,Serie A,22,1999,36,32,2869,31.9,13,2,9,4,4,4,0,7,2,28.6,0.25,0.07,0,0,15,0.41,0.06,0.47,0.28,0.35,11.9,8.9,2.3,11.2,0.37,0.07,0.45,0.28,0.35
Mexico,Midfielder/Forward,La Liga,25,1996,7,0,99,1.1,0,0,0,0,0,0,0,7,0,0,0.86,0,0,,23.8,0,0,0,0,0,0.5,0.5,0.1,0.6,0.47,0.11,0.58,0.47,0.58
Jamaica,Defender,Premier League,28,1993,32,32,2694,29.9,1,1,1,0,0,1,0,5,1,20,0.31,0.06,0,0,22,0.03,0.03,0.07,0.03,0.07,1.5,1.5,1.2,2.8,0.05,0.04,0.09,0.05,0.09
Spain,Midfielder/Forward,La Liga,18,2002,31,21,1678,18.6,6,4,6,0,0,2,0,86,22,25.6,2.7,0.69,0.1,0.41,15.3,0.32,0.21,0.54,0.32,0.54,6.2,6.2,3.2,9.4,0.33,0.17,0.5,0.33,0.5
Italy,Goalkeeper,Serie A,31,1990,1,0,45,0.5,0,0,0,0,0,0,0,5,1,20,4.55,0.91,0,0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Midfielder,Serie A,17,2003,1,0,1,0,0,0,0,0,0,0,0,18,8,44.4,0.6,0.27,0.06,0.13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Defender,La Liga,34,1987,27,25,2092,23.2,1,0,1,0,0,10,1,26,15,57.7,1.39,0.8,0.23,0.4,11.4,0.04,0,0.04,0.04,0.04,2.1,2.1,0.1,2.1,0.09,0,0.09,0.09,0.09
Croatia,Midfielder/Forward,Serie A,26,1995,24,13,1149,12.8,3,0,3,0,0,0,0,0,0,,0,0,,,,0.23,0,0.23,0.23,0.23,1.9,1.9,1.1,3,0.15,0.09,0.24,0.15,0.24
Germany,Defender,Bundesliga,29,1992,21,19,1637,18.2,0,3,0,0,0,3,0,0,0,,0,0,,,,0,0.16,0.16,0,0.16,0.5,0.5,3.6,4.1,0.03,0.2,0.22,0.03,0.22
France,Midfielder/Forward,Bundesliga,28,1993,33,24,2070,23,10,6,7,3,3,4,0,19,3,15.8,0.82,0.13,0.05,0.33,12.1,0.43,0.26,0.7,0.3,0.57,8.2,5.9,7.4,13.4,0.36,0.32,0.68,0.26,0.58
Italy,Midfielder,Serie A,22,1999,33,24,2240,24.9,4,2,4,0,0,11,0,21,9,42.9,1.64,0.7,0.14,0.33,16.3,0.16,0.08,0.24,0.16,0.24,3.8,3.8,0.8,4.5,0.15,0.03,0.18,0.15,0.18
Portugal,Midfielder/Forward,Premier League,25,1995,26,15,1484,16.5,2,3,2,0,0,2,0,8,7,87.5,1.43,1.25,0,0,16.7,0.12,0.18,0.3,0.12,0.3,1.9,1.9,3.8,5.8,0.12,0.23,0.35,0.12,0.35
Israel,Forward,Serie A,19,2002,5,1,113,1.3,0,1,0,0,0,0,0,7,1,14.3,0.38,0.05,0,0,24.8,0,0.8,0.8,0,0.8,0,0,0,0.1,0.03,0.03,0.06,0.03,0.06
France,Midfielder/Forward,Premier League,28,1993,20,16,1349,15,1,9,1,0,0,7,1,59,23,39,2.57,1,0.12,0.3,17.3,0.07,0.6,0.67,0.07,0.67,2.4,2.4,3.5,6,0.16,0.24,0.4,0.16,0.4
Finland,Forward,Bundesliga,26,1994,2,0,12,0.1,0,0,0,0,0,0,0,49,8,16.3,1.97,0.32,0.08,0.5,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Forward,Serie A,27,1993,33,20,1650,18.3,3,4,3,0,0,3,0,35,15,42.9,2.12,0.91,0.06,0.13,21.7,0.16,0.22,0.38,0.16,0.38,2.7,2.7,4,6.7,0.15,0.22,0.37,0.15,0.37
Germany,Goalkeeper,Ligue 1,26,1994,6,4,436,4.8,0,0,0,0,0,0,0,1,0,0,0.8,0,0,,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Forward,Bundesliga,30,1991,33,27,2341,26,10,1,9,1,2,2,0,32,8,25,2.13,0.53,0.03,0.13,17.3,0.38,0.04,0.42,0.35,0.38,9.1,7.6,2.5,10.1,0.35,0.1,0.45,0.29,0.39
Argentina,Forward,La Liga,24,1997,13,5,667,7.4,1,0,1,0,0,1,1,0,0,,0,0,,,,0.13,0,0.13,0.13,0.13,2,2,0.3,2.3,0.28,0.04,0.32,0.28,0.32
Croatia,Defender,Bundesliga,23,1997,17,9,827,9.2,0,0,0,0,0,3,0,42,11,26.2,2.29,0.6,0.07,0.27,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Midfielder,La Liga,28,1993,27,17,1366,15.2,1,0,1,0,0,2,0,0,0,,0,0,,,,0.07,0,0.07,0.07,0.07,2,2,0.6,2.6,0.13,0.04,0.17,0.13,0.17
United Kingdom,Goalkeeper,Premier League,29,1992,36,36,3240,36,0,0,0,0,0,1,0,54,21,38.9,2.08,0.81,0.17,0.43,11.3,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01
Italy,Midfielder/Forward,Serie A,21,2000,24,17,1322,14.7,1,0,1,0,0,4,0,15,5,33.3,2.02,0.67,0.07,0.2,12.8,0.07,0,0.07,0.07,0.07,2.9,2.9,0.8,3.6,0.2,0.05,0.25,0.2,0.25
Spain,Midfielder/Forward,La Liga,29,1992,37,17,1590,17.7,1,2,0,1,1,5,0,0,0,,0,0,,,,0.06,0.11,0.17,0,0.11,3.1,2.3,2,4.3,0.17,0.11,0.28,0.13,0.24
Austria,Defender,Bundesliga,24,1997,28,26,2199,24.4,2,0,2,0,0,5,0,16,4,25,1.05,0.26,0.06,0.25,15.2,0.08,0,0.08,0.08,0.08,1.3,1.3,0.5,1.8,0.05,0.02,0.07,0.05,0.07
Spain,Defender,La Liga,32,1988,13,10,848,9.4,0,0,0,0,0,3,0,0,0,,0,0,,,,0,0,0,0,0,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03
Denmark,Forward,Bundesliga,27,1994,25,12,1079,12,6,0,6,0,0,2,0,29,12,41.4,1.97,0.82,0.03,0.08,20.9,0.5,0,0.5,0.5,0.5,5.1,5.1,2.2,7.4,0.43,0.19,0.61,0.43,0.61
France,Goalkeeper,Ligue 1,22,1999,13,13,1170,13,0,0,0,0,0,3,0,24,9,37.5,1.36,0.51,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Midfielder/Forward,La Liga,24,1997,15,3,380,4.2,1,0,1,0,0,0,0,13,6,46.2,0.53,0.25,0.15,0.33,20.8,0.24,0,0.24,0.24,0.24,0.2,0.2,0.1,0.3,0.04,0.03,0.07,0.04,0.07
Spain,Midfielder,La Liga,25,1996,5,0,72,0.8,0,0,0,0,0,0,0,2,0,0,0.21,0,0,,15.5,0,0,0,0,0,0.1,0.1,0.3,0.5,0.16,0.43,0.6,0.16,0.6
Belgium,Midfielder/Forward,Serie A,27,1994,23,17,1539,17.1,2,2,2,0,0,3,0,28,14,50,2.34,1.17,0.21,0.43,12.4,0.12,0.12,0.23,0.12,0.23,2.5,2.5,4.1,6.6,0.15,0.24,0.39,0.15,0.39
Poland,Midfielder/Forward,Serie A,20,2000,2,0,25,0.3,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0.11,0,0.11,0.11,0.11
Spain,Forward,La Liga,28,1992,23,6,641,7.1,3,0,3,0,0,3,0,4,4,100,0.95,0.95,0.25,0.25,29.8,0.42,0,0.42,0.42,0.42,2,2,0.4,2.3,0.27,0.05,0.32,0.27,0.32
Bosnia and Herzegovina,Midfielder,Ligue 1,27,1993,32,27,2186,24.3,1,0,1,0,0,4,0,3,0,0,3.75,0,0,,17.5,0.04,0,0.04,0.04,0.04,1.5,1.5,2.4,3.9,0.06,0.1,0.16,0.06,0.16
France,Midfielder/Forward,Ligue 1,30,1991,27,24,1969,21.9,5,2,5,0,0,5,0,25,7,28,1.46,0.41,0.08,0.29,16.2,0.23,0.09,0.32,0.23,0.32,2.6,2.6,2,4.7,0.12,0.09,0.21,0.12,0.21
United Kingdom,Midfielder,Premier League,17,2003,1,0,14,0.2,0,0,0,0,0,0,0,1,0,0,3.6,0,0,,26.2,0,0,0,0,0,0.2,0.2,0,0.2,1.03,0,1.03,1.03,1.03
Austria,Midfielder,Bundesliga,29,1991,26,23,2123,23.6,0,1,0,0,0,3,0,19,7,36.8,2.67,0.98,0.16,0.43,14.8,0,0.04,0.04,0,0.04,1.1,1.1,0.8,1.8,0.05,0.03,0.08,0.05,0.08
Spain,Goalkeeper,La Liga,17,2004,1,1,90,1,0,0,0,0,0,0,0,46,11,23.9,1.89,0.45,0.02,0.09,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Midfielder,Bundesliga,26,1995,29,28,2422,26.9,8,1,8,0,0,4,0,41,10,24.4,1.87,0.46,0.12,0.5,20.8,0.3,0.04,0.33,0.3,0.33,6.6,6.6,0.8,7.4,0.25,0.03,0.28,0.25,0.28
Germany,Forward,Bundesliga,34,1986,1,0,27,0.3,0,0,0,0,0,0,0,1,0,0,6.43,0,0,,7.8,0,0,0,0,0,0.3,0.3,0,0.3,0.83,0,0.83,0.83,0.83
Italy,Goalkeeper,Serie A,27,1994,31,31,2761,30.7,0,0,0,0,0,2,0,17,4,23.5,0.72,0.17,0,0,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Midfielder/Forward,La Liga,23,1998,30,26,2245,24.9,4,1,4,0,0,5,0,0,0,,0,0,,,,0.16,0.04,0.2,0.16,0.2,4.9,4.9,1.2,6.1,0.19,0.05,0.24,0.19,0.24
Spain,Defender,La Liga,18,2003,11,5,512,5.7,0,1,0,0,0,1,0,37,12,32.4,1.37,0.45,0.22,0.67,12.4,0,0.18,0.18,0,0.18,1,1,0.2,1.3,0.18,0.04,0.22,0.18,0.22
Spain,Midfielder/Forward,La Liga,29,1992,33,25,2261,25.1,6,1,6,0,0,4,0,1,0,0,3.33,0,0,,11,0.24,0.04,0.28,0.24,0.28,3.6,3.6,0.9,4.5,0.14,0.04,0.18,0.14,0.18
Spain,Midfielder,La Liga,21,1999,15,2,487,5.4,1,0,1,0,0,0,0,1,1,100,0.03,0.03,0,0,71.2,0.18,0,0.18,0.18,0.18,0.7,0.7,0.3,1,0.13,0.05,0.18,0.13,0.18
Finland,Forward,Premier League,31,1990,37,37,3253,36.1,11,3,8,3,3,4,0,40,12,30,1.6,0.48,0.1,0.33,14.6,0.3,0.08,0.39,0.22,0.3,11.5,9.2,2.8,12,0.32,0.08,0.4,0.26,0.33
Chile,Midfielder,Serie A,27,1994,6,4,341,3.8,0,1,0,0,0,2,0,6,1,16.7,1.05,0.18,0,0,11.6,0,0.26,0.26,0,0.26,0.1,0.1,0.7,0.8,0.02,0.2,0.22,0.02,0.22
USA,Midfielder/Forward,Premier League,22,1998,22,13,1290,14.3,6,2,6,0,0,2,0,33,14,42.4,1.31,0.56,0.18,0.43,13.6,0.42,0.14,0.56,0.42,0.56,5.1,5.1,1.2,6.3,0.35,0.08,0.44,0.35,0.44
France,Forward,Bundesliga,22,1999,8,0,70,0.8,0,0,0,0,0,0,0,9,3,33.3,1.66,0.55,0.11,0.33,18.5,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
Argentina,Midfielder/Forward,Serie A,25,1995,28,11,1204,13.4,4,4,3,1,1,4,0,68,24,35.3,1.88,0.66,0.12,0.33,14.9,0.3,0.3,0.6,0.22,0.52,4.9,4.2,2.6,6.8,0.37,0.19,0.56,0.31,0.51
Finland,Midfielder,Serie A,17,2003,1,0,19,0.2,0,0,0,0,0,0,0,3,2,66.7,0.79,0.53,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,Midfielder/Forward,Premier League,23,1998,12,6,504,5.6,0,0,0,0,0,1,0,28,11,39.3,1.95,0.77,0.21,0.55,12.9,0,0,0,0,0,0.5,0.5,0.7,1.3,0.1,0.13,0.23,0.1,0.23
Morocco,Midfielder,La Liga,30,1991,1,0,4,0,0,0,0,0,0,0,0,1,0,0,1.29,0,0,,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Forward,Serie A,38,1983,33,19,1664,18.5,4,2,3,1,1,2,0,31,12,38.7,2.32,0.9,0.1,0.25,16.7,0.22,0.11,0.32,0.16,0.27,4.2,3.5,2.1,5.6,0.23,0.11,0.34,0.19,0.3
Spain,Defender,La Liga,31,1989,32,27,2304,25.6,0,1,0,0,0,11,0,0,0,,0,0,,,,0,0.04,0.04,0,0.04,0.5,0.5,1.3,1.9,0.02,0.05,0.07,0.02,0.07
Spain,Midfielder/Forward,La Liga,25,1995,2,0,26,0.3,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Midfielder/Forward,La Liga,25,1995,7,0,89,1,0,0,0,0,0,1,0,57,10,17.5,3.08,0.54,0.05,0.3,19.1,0,0,0,0,0,0,0,0.3,0.3,0,0.27,0.27,0,0.27
France,Midfielder,Serie A,26,1995,32,28,2285,25.4,0,2,0,0,0,5,0,17,2,11.8,0.66,0.08,0,0,22,0,0.08,0.08,0,0.08,1.7,1.7,1.8,3.5,0.07,0.07,0.14,0.07,0.14
Serbia,Midfielder,La Liga,23,1998,28,13,1206,13.4,0,0,0,0,0,3,1,0,0,,0,0,,,,0,0,0,0,0,0.9,0.9,0.7,1.7,0.07,0.05,0.12,0.07,0.12
Serbia,Midfielder,La Liga,28,1993,19,17,1214,13.5,0,0,0,0,0,3,0,0,0,,0,0,,,,0,0,0,0,0,0.2,0.2,0.6,0.8,0.02,0.04,0.06,0.02,0.06
Serbia,Midfielder,Ligue 1,25,1996,1,0,18,0.2,0,0,0,0,0,0,0,26,7,26.9,1.02,0.28,0,0,16.8,0,0,0,0,0,0,0,0.2,0.2,0,0.89,0.89,0,0.89
Serbia,Defender/Midfielder,Serie A,32,1988,14,12,1053,11.7,1,1,1,0,0,4,0,16,1,6.3,1.19,0.07,0,0,20.7,0.09,0.09,0.17,0.09,0.17,0.8,0.8,0.8,1.6,0.07,0.07,0.14,0.07,0.14
Romania,Goalkeeper,Serie A,24,1997,1,1,90,1,0,0,0,0,0,0,0,5,0,0,0.37,0,0,,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,Defender,Serie A,34,1986,10,6,556,6.2,0,0,0,0,0,2,0,0,0,,0,0,,,,0,0,0,0,0,0.1,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02
Serbia,Goalkeeper,Serie A,25,1996,3,3,270,3,0,0,0,0,0,0,1,18,5,27.8,1.54,0.43,0.06,0.2,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Midfielder,Bundesliga,16,2005,1,0,4,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Midfielder/Forward,La Liga,28,1993,17,13,1050,11.7,1,0,1,0,0,3,0,2,1,50,0.32,0.16,0,0,23.9,0.09,0,0.09,0.09,0.09,2.3,2.3,0.7,2.9,0.19,0.06,0.25,0.19,0.25
Brazil,Midfielder/Forward,Ligue 1,28,1993,5,3,220,2.4,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0.4,0.4,0.1,0.5,0.16,0.05,0.21,0.16,0.21
Spain,Defender,La Liga,29,1991,17,17,1530,17,2,0,2,0,0,8,0,0,0,,0,0,,,,0.12,0,0.12,0.12,0.12,1.1,1.1,0,1.1,0.06,0,0.06,0.06,0.06
Italy,Forward,Serie A,17,2004,1,1,74,0.8,0,0,0,0,0,0,0,14,2,14.3,1.2,0.17,0.07,0.5,16.6,0,0,0,0,0,0.1,0.1,0,0.1,0.13,0,0.13,0.13,0.13
Serbia,Goalkeeper,Ligue 1,25,1995,38,38,3420,38,0,0,0,0,0,3,0,5,0,0,2.05,0,0,,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Midfielder/Forward,Premier League,18,2002,2,1,80,0.9,0,0,0,0,0,0,0,9,3,33.3,0.53,0.18,0.22,0.67,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,Midfielder,La Liga,33,1988,35,26,2182,24.2,4,6,3,1,2,5,0,2,1,50,2.43,1.22,0,0,15.6,0.16,0.25,0.41,0.12,0.37,3.4,1.9,2.8,4.7,0.14,0.11,0.26,0.08,0.19
Germany,Goalkeeper,Bundesliga,19,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Defender,La Liga,28,1993,3,3,243,2.7,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
France,Defender,Ligue 1,35,1985,17,14,1171,13,3,0,3,0,0,1,0,29,10,34.5,1.2,0.41,0.1,0.3,21.4,0.23,0,0.23,0.23,0.23,0.8,0.8,0,0.9,0.06,0,0.07,0.06,0.07
Spain,Forward,La Liga,26,1995,29,19,1462,16.2,3,0,3,0,0,7,0,0,0,,0,0,,,,0.18,0,0.18,0.18,0.18,2.8,2.8,0.8,3.6,0.17,0.05,0.22,0.17,0.22
Portugal,Defender,Bundesliga,23,1997,13,9,906,10.1,0,0,0,0,0,1,0,2,0,0,0.74,0,0,,22.1,0,0,0,0,0,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03
Spain,Defender,Ligue 1,35,1986,12,8,801,8.9,2,0,2,0,0,3,1,6,3,50,0.46,0.23,0.5,1,6.4,0.22,0,0.22,0.22,0.22,1.6,1.6,0,1.6,0.18,0,0.18,0.18,0.18
United Kingdom,Goalkeeper,Premier League,23,1998,34,34,3060,34,0,0,0,0,0,1,0,50,14,28,3.08,0.86,0.06,0.21,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Midfielder,Serie A,30,1990,3,1,99,1.1,0,0,0,0,0,0,0,7,3,42.9,0.7,0.3,0,0,13.3,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0.1
United Kingdom,Midfielder,Premier League,20,2001,34,29,2467,27.4,6,1,6,0,0,6,0,12,4,33.3,1.35,0.45,0.17,0.5,14.2,0.22,0.04,0.26,0.22,0.26,3.8,3.8,2,5.8,0.14,0.07,0.21,0.14,0.21
Italy,Defender,Serie A,22,1999,27,25,2103,23.4,1,0,1,0,0,9,0,0,0,,0,0,,,,0.04,0,0.04,0.04,0.04,0.6,0.6,0.7,1.4,0.03,0.03,0.06,0.03,0.06
Italy,Defender,Serie A,33,1988,6,3,341,3.8,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0.2,0.2,0,0.2,0.05,0,0.05,0.05,0.05
Brazil,Midfielder/Forward,Premier League,24,1996,35,34,2915,32.4,11,3,7,4,4,7,0,34,11,32.4,1.24,0.4,0.18,0.55,17.8,0.34,0.09,0.43,0.22,0.31,11.2,8.2,6.8,15,0.35,0.21,0.56,0.25,0.46
Germany,Midfielder,Bundesliga,21,2000,10,7,597,6.6,0,1,0,0,0,0,0,9,4,44.4,0.39,0.17,0.11,0.25,15.7,0,0.15,0.15,0,0.15,0.2,0.2,0,0.2,0.02,0.01,0.03,0.02,0.03
Kosovo,Midfielder/Forward,Ligue 1,28,1993,29,22,1759,19.5,8,3,8,0,0,3,0,2,1,50,0.53,0.26,0,0,6.5,0.41,0.15,0.56,0.41,0.56,5,5,2.8,7.8,0.25,0.15,0.4,0.25,0.4
United Kingdom,Midfielder/Forward,Premier League,23,1997,25,13,1235,13.7,4,2,4,0,0,2,0,85,21,24.7,2.62,0.65,0.08,0.33,20.2,0.29,0.15,0.44,0.29,0.44,2.4,2.4,2,4.4,0.18,0.14,0.32,0.18,0.32
Kosovo,Midfielder/Forward,Premier League,25,1996,31,25,2229,24.8,1,2,1,0,0,0,0,5,1,20,0.75,0.15,0,0,23.7,0.04,0.08,0.12,0.04,0.12,2.7,2.7,2.6,5.3,0.11,0.1,0.21,0.11,0.21
Italy,Midfielder/Forward,Serie A,21,2000,36,32,2740,30.4,10,4,10,0,0,9,1,30,12,40,1.53,0.61,0.27,0.67,13.5,0.33,0.13,0.46,0.33,0.46,7.3,7.3,3.8,11.2,0.24,0.13,0.37,0.24,0.37
Spain,Forward,La Liga,20,2000,1,0,1,0,0,0,0,0,0,0,0,22,12,54.5,1.6,0.87,0.18,0.33,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Defender,Bundesliga,23,1998,32,31,2757,30.6,3,11,3,0,0,5,0,45,16,35.6,1.82,0.65,0.02,0.06,21.4,0.1,0.36,0.46,0.1,0.46,1.5,1.5,10.1,11.6,0.05,0.33,0.38,0.05,0.38
Italy,Goalkeeper,Serie A,32,1988,1,0,5,0.1,0,0,0,0,0,0,0,72,25,34.7,2.36,0.82,0.14,0.4,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Goalkeeper,Premier League,25,1995,24,24,2160,24,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,Forward,Serie A,27,1993,24,6,891,9.9,2,2,2,0,0,2,0,25,8,32,0.82,0.26,0.12,0.38,19.7,0.2,0.2,0.4,0.2,0.4,2.5,2.5,4.6,7.1,0.25,0.47,0.72,0.25,0.72
Poland,Defender,Serie A,26,1995,25,22,1772,19.7,0,2,0,0,0,3,0,0,0,,0,0,,,,0,0.1,0.1,0,0.1,0.6,0.6,1.8,2.5,0.03,0.09,0.12,0.03,0.12
Spain,Defender,La Liga,19,2002,1,0,45,0.5,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Midfielder/Forward,Premier League,27,1994,27,20,1833,20.4,1,5,1,0,0,0,0,30,6,20,3.03,0.61,0.07,0.33,15.4,0.05,0.25,0.29,0.05,0.29,1.9,1.9,4.3,6.3,0.09,0.21,0.31,0.09,0.31
Spain,Defender,Premier League,24,1996,25,22,1916,21.3,2,3,2,0,0,4,0,8,4,50,0.41,0.2,0,0,20.2,0.09,0.14,0.23,0.09,0.23,3,3,4,7,0.14,0.19,0.33,0.14,0.33
Spain,Goalkeeper,La Liga,36,1985,21,21,1890,21,0,0,0,0,0,5,1,0,0,,0,0,,,,0,0,0,0,0,0,0,0.3,0.3,0,0.02,0.02,0,0.02
Spain,Goalkeeper,Serie A,38,1982,15,15,1350,15,0,1,0,0,0,3,0,25,9,36,1.23,0.44,0.04,0.11,20,0,0.07,0.07,0,0.07,0,0,0.3,0.3,0,0.02,0.02,0,0.02
France,Midfielder,Ligue 1,23,1998,10,1,198,2.2,0,1,0,0,0,0,0,21,9,42.9,0.99,0.42,0.1,0.22,14.9,0,0.45,0.45,0,0.45,0.2,0.2,1.3,1.5,0.1,0.59,0.68,0.1,0.68
Brazil,Midfielder/Forward,Bundesliga,19,2002,13,1,162,1.8,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06
Netherlands,Defender,La Liga,26,1994,18,11,1098,12.2,0,2,0,0,0,2,0,0,0,,0,0,,,,0,0.16,0.16,0,0.16,0.4,0.4,0.3,0.7,0.03,0.03,0.06,0.03,0.06
Spain,Goalkeeper,La Liga,26,1995,35,35,3150,35,0,0,0,0,0,1,0,3,1,33.3,1.36,0.45,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,Defender/Forward,Bundesliga,22,1998,4,0,32,0.4,0,0,0,0,0,0,0,1,0,0,0.56,0,0,,8.5,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08
Greece,Defender/Midfielder,Serie A,22,1998,5,1,55,0.6,0,0,0,0,0,0,0,4,0,0,0.33,0,0,,8.3,0,0,0,0,0,0,0,0.1,0.1,0,0.09,0.09,0,0.09
Germany,Midfielder/Forward,Bundesliga,32,1989,29,29,2503,27.8,9,13,9,0,0,2,0,0,0,,0,0,,,,0.32,0.47,0.79,0.32,0.79,10.8,10.8,7.8,18.6,0.39,0.28,0.67,0.39,0.67
Germany,Midfielder,Bundesliga,23,1997,32,30,2542,28.2,0,0,0,0,0,5,0,1,0,0,2.81,0,0,,8.2,0,0,0,0,0,1.4,1.4,1.2,2.6,0.05,0.04,0.09,0.05,0.09
USA,Midfielder,Bundesliga,18,2002,10,6,439,4.9,2,1,2,0,0,0,0,0,0,,0,0,,,,0.41,0.21,0.62,0.41,0.62,1.5,1.5,1.6,3.1,0.32,0.32,0.64,0.32,0.64
USA,Defender,Serie A,20,2001,1,0,2,0,0,0,0,0,0,0,0,51,22,43.1,1.83,0.79,0.18,0.41,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Midfielder/Forward,La Liga,20,2001,31,7,1116,12.4,2,0,2,0,0,5,1,34,7,20.6,1.2,0.25,0,0,22.3,0.16,0,0.16,0.16,0.16,1,1,1.3,2.2,0.08,0.1,0.18,0.08,0.18
Portugal,Forward,Ligue 1,19,2002,1,0,2,0,0,0,0,0,0,0,0,11,6,54.5,2.26,1.23,0.18,0.33,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
